leader_name,tid,message_title,label1,label2,message_date,message_time,message_content
从化区委书记,12558985,宵夜档和烧烤档半夜噪声扰民,环保,投诉,2022-01-08,21:20,你好！首先谢谢政府有这么好的平台让普通市民有可投诉的地方。谢谢！1、楼下的宵夜档晚上九点以后长期占道经营，食客说话很大声，严重扰民，经营时间甚至达到零晨三、四点后。(以上宵夜档已经营多年！)2、每晚半夜的时候公路两边停满食客的车辆，严重影响交通安全！3、对面的烧烤店亦都是存在同样的情况。特别是那个油烟！4、希望规范经营行为，为周围居民创造一个良好的生活环境！                                    谢谢
从化区委书记,12472716,从化区求学圆梦培训机构虚假宣传诱导消费,教育,投诉,2022-01-04,17:18,我于2020/6月，在求学圆梦自考培训中心的恒企教育报名了自考大专，工作人员暗示只要参加考试不交白卷就可以通过，并诱导我办分期，实际并不是他们平台的分期，而是给我办理了网贷，为了赚钱无下限，并告诉我这期不办后面考试难度加大，费用增加，增加紧迫感，报名后除了班主任群发的几条消息，根本感受不到他们的存在，近一年也并没有看视频，跟他们沟通退款被拒，无奈求得贵平台帮助，诉求是扣除相应违约金，退剩余报名费
从化区委书记,12365024,要工资,企业,投诉,2021-12-26,14:02,本人于2021年10月5号至11月20号（挖机360一台和机械操作手一名）在广州市从化区明珠工业园区给深圳市源创发展投资工程有限公司干活，共计工资72000元，公司拖欠工资到现在都没有发放给我，1882979xxx项目负责人电话，王x才。每次去要工资都是公司负责人王x才出来一天推一天的忽悠，至今一分钱未拿到，请政府帮助给予处理，谢谢！
从化区委书记,12351593,旧小区霸占公共停车位收费,治安,投诉,2021-12-24,09:31,没有物业的旧小区，停车位本来就不够，有人用雪糕桶霸占了大部分车位出租，还有一部分人用摩托车长期占位的。霸位收费的没有土地使用证也没有工商营业了。有向居委反映和报警，最后都是踢皮球，不了了知。地址广州市从化区城郊街道关围新村
从化区委书记,12323454,减速带噪音扰民,交通,投诉,2021-12-22,13:00,从化江埔街从城大道和沿江南路交汇处路段新增加了几条减速带，车辆通过时声音很大，特别是大型车辆通过时感觉跟铁轨一样，严重影响附近居民的休息和生活。希望取消减速带，改用限速拍照、提示牌和警示灯等措施。
从化区委书记,12317713,关于从化区街口街荔香村商户噪音问题,环保,投诉,2021-12-21,17:55,尊敬的领导，您好！本人居住在广州市从化区街口街荔香村楼上住户，多年来受到商业街商户，从早到晚音响噪音。
从化区委书记,12267833,珠江国际城宣传规划长年不落实,城建,投诉,2021-12-17,17:13,从化珠江国际城一直宣传为商业大城，教育大城，20年6月份我们购房时销售宣传是20年底壹悦广场开业，21年中学开建，现在一年半过去了，所有宣传未见落实，甚至传出宣传的中学地块并不是教育用地，根本无法建设中学。
从化区委书记,12225793,居民区酒吧噪音扰民，不堪其扰,环保,投诉,2021-12-12,11:02,您好，位于从化区江埔街商贸城南区的某酒吧每日都开业到半夜一两点，周五周六周日晚上更是营业到天亮 而且噪音让人无法入眠 几年内曾多次报警及寻找环保局 仍然没任何作用 请问两个问题 1. 工商部门为何允许酒吧在居民区营业 并且营业到半夜四五点 2.即使工商部门颁发营业执照 那么半夜两三点大声喧哗 猜码 是否应罚款并责令改正？希望有关部门能及时调查 以下附上半夜三点拍摄照片
从化区委书记,12209250,时代印象车位捆绑销售且未按照约定时间退款,城建,投诉,2021-12-12,10:39,本人购买了广州市从化区太平镇时代印象（时代文悦花园），现投诉购房必须捆绑销售车位。因捆绑销售，购房时迫于无奈，缴纳首期及第二期车位费用人民币共5万余元。但开发商出售的车位没有预售许可证，无网签属于私下交易，无签署认购书，不符合国家相关制度。2021年10月5日，本人书面提出申请并签订退款申请书，开发商承诺在45个工作日退还所有车位款项，但截止目前没有兑现任何退款承诺。以上，烦请各级领导介入处理，非常感谢。
从化区委书记,12209125,太平时代印象违法销售停车位，拒不退款,城建,投诉,2021-12-12,10:26,该楼盘位于太平镇，2020年9月25日进行预售房屋时捆绑销售车位，该楼盘所有车位暂未取得产权。到2021年9月25日缴纳第二期车位款时，销售给不出合理解释时，我采取12345进行投诉，后面接到该楼盘梁姓经理电话，要求我们撤销投诉，同意办理车位退款手续。2021年10月8日我们去到该楼盘销售中心办理手续时，被迫同意他们45个工作日内退款的无理要求。到今天2021年12月9日为止，已经严重超出45工作日时，我们仍然没有收到车位的退款。
